,FEATURE,COEFF,P_VALUE,SUM,PRODUCT,CONTRIBUTION,BASE/INCREMENTAL,VALUE,ROI_OR_VOL/DAY,Elasticity
0,JBP_FLIPKART_TRUE,0.0196366643177657,0.0,15716552.741200002,308620.6704114048,19.098146199256124,INCREMENTAL,760.6170565438473,4.839592174369989,1.9098146199256125
1,BASE_AMAZON_WTD_DISCOUNT%,3874.308103000829,0.0,66.02956509056472,255818.87906799553,15.830651739747678,BASE,630.4833780111398,954850.1147120727,1.5830651739747679
2,INCREMENTAL_AMAZON_WTD_DISCOUNT%,3874.308103000829,0.0,27728136.878310185,255818.87906799553,15.830651739747678,INCREMENTAL,772.5074369082037,2.78600556647022,1.5830651739747679
3,BASE_FLIPKART_WTD_DISCOUNT%,1944.592890715482,0.0,107.78527260666189,209598.4748347449,12.970428423342373,BASE,516.5699846752453,479258.41089659004,1.2970428423342373
4,INCREMENTAL_FLIPKART_WTD_DISCOUNT%,1944.592890715482,0.0,61980479.57074818,128463.58135032751,7.949617420758227,INCREMENTAL,387.9270846879628,0.6258859037145074,0.7949617420758227
5,NET_SENTIMENT_MENTIONS,173.8196646509284,0.01138,600.2330081182888,104332.30018353894,6.456319077895017,BASE,257.1341931253867,42839.06243868429,0.6456319077895017
6,JBP_BIG_BASKET,0.0060263783334367,0.26642,9374485.2588,56494.19485075405,3.4959887528942786,INCREMENTAL,139.23386318198854,1.485242755609298,0.34959887528942785
7,Amazon SVD,231.58573430021045,0.00019,217.0,50254.104343145664,3.109837816691493,INCREMENTAL,123.85472714376647,57075.91112615966,0.3109837816691493
8,JBP_AMAZON,0.007369064464482,0.00166,5531024.42,40758.47550560417,2.5222267939058383,INCREMENTAL,100.45209099883252,1.8161570691245024,0.25222267939058385
9,AMS_SEARCH_SPEND,0.0090262495066408,0.01249,3841660.49,34675.786102543956,2.1458161946110708,INCREMENTAL,85.46088090438666,2.2245818215025723,0.21458161946110707
10,FLIPKART PAY DAY SALES,327.24983697667363,0.0,88.0,28797.98565394728,1.7820845879506626,INCREMENTAL,70.97463385488086,80652.99301691007,0.17820845879506625
11,AMS_SEARCH_SP_SPEND,0.0080892528265435,0.12693,3346208.4000000004,27068.325757903607,1.6750493154084916,INCREMENTAL,66.71176702487588,1.9936524881377942,0.16750493154084917
12,PLA_SPENDS,0.0273329546889466,0.01074,941040.14,25721.407507099964,1.5916989628932063,INCREMENTAL,63.39219353692459,6.736396338728397,0.15916989628932063
13,ISWEEKEND,82.69699148562168,0.08614,269.0,22245.49070963223,1.376601357518956,INCREMENTAL,54.82555540553543,20381.247362652575,0.1376601357518956
14,YOUTUBE_SPEND_LAG_5,0.0005287631217228,0.12466,36573755.0407,19338.852888445526,1.196732024776882,INCREMENTAL,47.661944811848024,0.13031734028624858,0.1196732024776882
15,FLIPKART BIG BILLION DAYS,453.761045102464,0.00522,37.0,16789.158668791166,1.0389511706771049,INCREMENTAL,41.378046491443435,111832.55808498226,0.10389511706771049
16,TV_spend_LAG_7,3.3153392133950195e-05,0.28655,467730421.8125,15506.850087327744,0.9595990108599959,INCREMENTAL,38.21770801666324,0.008170883533417812,0.09595990108599958
17,AMAZON_GREAT INDIA FESTIVAL,275.8679590075422,0.06654,43.0,11862.322237324315,0.7340673716025173,INCREMENTAL,29.235516246856086,67989.57266710718,0.07340673716025173
18,PCA_SPENDS_LAG_15,0.1109884636567428,0.04191,92146.25,10227.170719230136,0.6328804915764017,INCREMENTAL,25.20557187197654,27.353876985744446,0.06328804915764016
19,DISPLAY_SPEND_LAG_21,-0.002957464863193,0.39209,1850643.4155,-5473.212875640734,-0.3386948111391796,INCREMENTAL,-13.489112902769131,-0.728887736545654,-0.03386948111391796
20,FLIPKART BIG DIWALI SALE,-116.88785600298826,0.30253,29.0,-3389.7478240866594,-0.20976527410402843,INCREMENTAL,-8.354268717470283,-28807.82316369063,-0.020976527410402842
21,AMS_DISPLAY_SPEND_LAG_3,0.0033681499410754,0.58997,510683.50620000006,1720.0586213157087,0.1064411239123677,INCREMENTAL,4.239203822232624,0.8301039236173051,0.01064411239123677
22,FACEBOOK/INSTAGRAM_SPEND,3.706463832514894e-05,0.58085,19475783.282299995,721.8628634574314,0.04467050921685194,INCREMENTAL,1.7790811150121022,0.009134837296269202,0.0044670509216851945
